Id;Origin;Destination;Volume;Weight;Type;MDP;LDP;LDC
AW1;CDG;JFK;10;6000;PER;;;
AW2;CDG;JFK;18;7000;;1;;
AW3;CDG;JFK;20;8000;;;;
AW4;CDG;JFK;5;1000;PER;;;
AW5;CDG;JFK;16;7500;;1;;
AW6;CDG;JFK;10;4000;;;;
AW7;CDG;JFK;10;6000;PER;;;
AW8;CDG;JFK;3;1000;;;;
AW9;CDG;JFK;10;5000;RAD;;1;
AW10;CDG;JFK;5;2000;;;;
AW11;CDG;JFK;10;3000;;;;
AW12;CDG;JFK;18;7500;;1;;
AW13;CDG;JFK;18;7500;;1;;
AW14;CDG;JFK;10;8000;;;;
AW15;CDG;JFK;7;5100;RAD;;1;
AW16;CDG;JFK;10;4000;RAD;;1;
AW17;CDG;JFK;5;2000;PER;;;
AW18;CDG;JFK;10;6000;PER;;;
AW19;CDG;JFK;10;3000;;;;
AW20;CDG;JFK;15;5000;PER;;;
AW21;CDG;JFK;4.3;1500;PER;;;1
AW22;CDG;JFK;3;1300;PER;;;1
AW23;CDG;JFK;5;3000;PER;;;
AW24;CDG;JFK;30;10000;RAD;;;
AW25;CDG;JFK;10;7000;RAD;;;
AW26;CDG;JFK;10;6000;PER;;;
AW27;CDG;JFK;10;4000;PER;;;
AW28;CDG;JFK;4.3;1000;;;;1
AW29;CDG;JFK;10;6000;PER;;;
AW30;CDG;JFK;20;10000;RAD;;;
